timestamp,ax,ay,az,gx,gy,gz,p1,p2
0,8.52,5.84,-3.26,0.15,0.23,0.1,21,15
22,8.32,5.73,-3.38,0.25,0.28,0.1,21,3
44,6.93,5.89,-4.77,-0.1,0.7,0.79,21,16
66,8.6,4.79,-3.36,-0.11,2.8,0.67,26,7
88,10.61,4.89,-0.48,-0.14,1.73,-0.29,21,10
111,8.66,6.16,-0.26,0.15,0.25,-0.2,22,11
133,8.98,6.35,-1.59,0.34,0.28,-0.06,23,12
155,9.25,6.12,-1.5,0.49,-0.25,0.08,21,4
177,7.86,5.14,-4.66,0.5,-0.11,0.28,20,6
199,9.64,4.32,-1.34,0.42,0.2,0.13,22,13
221,8.94,5.15,-0.94,0.2,-0.2,-0.19,19,3
244,8.33,6.62,-1.47,0.17,-0.18,-0.05,25,7
267,8.02,6.73,-0.66,0.19,0.01,0.36,21,11
289,8.45,6.22,-1.0,0.29,-0.05,0.65,27,2
311,8.69,5.32,-0.66,0.34,-0.23,0.75,20,18
333,9.25,5.21,-1.63,0.24,-0.58,0.65,22,10
355,8.79,5.16,-2.4,0.13,-0.6,0.74,20,3
377,9.1,5.82,-2.81,0.02,-0.48,0.9,20,7
399,8.78,3.72,-2.83,-0.06,-0.04,1.08,27,11
422,9.94,2.53,-2.85,-0.22,-0.41,1.0,23,1
445,10.81,3.3,-2.62,-0.39,-0.72,0.42,24,1
468,10.85,2.74,-1.78,-0.22,-0.88,-0.05,21,6
491,10.21,3.52,-3.02,-0.35,-0.82,-0.11,24,5
514,10.44,4.75,-2.53,-0.32,-0.6,-0.19,20,5
537,10.59,3.44,-3.12,-0.32,-0.79,-0.19,25,13
560,10.34,2.94,-2.91,-0.22,-0.88,-0.29,25,7
583,10.4,3.34,-2.63,0.09,-1.28,-0.48,21,7
606,9.67,3.26,-4.38,0.26,-1.72,-0.7,19,13
629,8.25,3.75,-5.04,0.38,-1.66,-0.79,23,12
652,7.37,3.49,-5.71,0.41,-1.43,-0.66,20,16
675,6.98,3.12,-6.34,0.25,-0.62,-0.49,24,9
698,7.27,3.69,-6.18,-0.01,0.13,-0.35,25,12
721,7.33,4.13,-5.17,-0.22,0.52,-0.3,20,17
744,7.02,4.5,-4.29,-0.28,0.9,-0.27,21,10
767,7.4,5.14,-3.75,-0.39,1.17,-0.27,21,1
790,6.7,5.97,-2.16,-0.83,0.81,-0.35,18,3
812,7.37,6.63,-2.24,-0.08,0.71,-0.16,27,10
835,7.92,6.47,-4.48,0.35,0.1,-0.2,18,14
857,8.04,6.66,-4.69,0.07,0.12,-0.3,25,12
879,6.4,7.26,-4.19,-0.17,-0.3,-0.08,23,14
902,7.7,6.36,-3.69,-0.1,0.36,0.16,24,8
925,8.81,5.98,-3.96,-0.2,0.19,-0.05,23,8
